F1,F6,F193,F12,F14,F15,F16,F26,F72,F99,S,Busy,Exting,Car,Nozzle,Flow,Long,Month
1144,1,1,2,1,1,5,4,1,0,20,76,24,2,2,7.0,0,1
1144,1,1,1,1,1,3,3,1,0,3,269,46,1,2,7.0,0,1
1144,1,1,1,1,1,3,2,1,0,43,152,42,1,2,7.0,0,1
1144,1,0,6,0,0,0,2,0,0,10,25,10,1,1,3.5,0,4
1144,1,1,1,1,1,3,2,0,1,20,37,12,8,2,7.0,0,4
1144,1,2,2,5,-1,2,4,0,0,1,11,0,6,0,0.0,0,4
1144,1,1,1,1,1,5,3,0,0,20,25,7,1,1,3.5,0,5
1144,1,0,6,0,0,0,3,0,0,1,14,3,2,1,7.0,0,6
1144,1,0,6,0,0,0,3,0,0,2,12,3,1,1,7.0,0,6
1144,1,0,6,0,0,0,3,0,0,1,12,3,1,1,3.5,0,7
1144,1,0,6,0,0,0,3,0,0,2,10,3,1,1,3.5,0,10
1144,1,0,6,0,0,0,3,0,0,1,12,3,1,1,3.5,0,11
1144,1,2,2,5,-1,2,3,0,0,1,10,3,4,2,7.0,0,11
1144,1,0,6,0,0,0,1,0,0,2,10,3,1,1,7.0,0,12
1144,1,0,6,0,0,0,2,0,0,1,13,5,1,1,3.5,0,12
1144,1,2,2,5,-1,2,2,0,1,1,16,4,3,1,3.5,0,1
1144,1,0,6,0,0,0,3,0,0,1,10,3,1,1,3.5,0,1
1144,1,0,6,0,0,0,3,0,0,2,12,3,1,1,3.5,0,1
1144,1,2,2,2,2,4,3,0,1,10,105,13,7,2,7.0,0,1
1144,1,2,2,5,-1,2,2,0,1,2,17,6,3,1,3.5,0,1
1144,1,1,2,1,1,5,3,0,0,20,16,5,1,1,3.5,0,1
1144,1,0,6,0,0,0,2,0,0,1,10,3,1,1,3.5,0,1
1144,1,0,6,0,0,0,3,0,0,1,10,3,1,1,3.5,0,1
1144,1,1,2,1,1,5,3,0,1,50,171,13,3,3,10.5,0,1
1144,1,1,1,1,1,5,3,0,0,1,10,0,2,0,0.0,0,1
1144,1,0,6,0,0,0,3,0,0,1,11,3,1,1,7.0,0,8
1144,1,0,6,1,1,5,2,0,0,1,10,0,2,0,0.0,0,1
1144,1,0,6,0,0,0,3,0,0,3,10,0,1,0,0.0,0,1
1144,1,0,6,0,0,0,3,0,0,2,12,0,1,0,0.0,0,1
1144,1,1,1,1,1,5,2,0,1,15,111,12,2,1,3.5,0,1
1144,1,0,6,0,0,0,2,0,0,1,10,3,1,1,3.5,0,1
