F0,F1,F6,F12,F14,F15,F16,F26,F72,F99,S,Busy,Exting,Month,Car,Nozzle,Flow,Long
1541656,1144,1,1,1,1,5,4,1,0,20,76,24,1,2,2,7.0,0
1541657,1144,1,1,1,1,3,3,1,0,3,269,46,1,1,2,7.0,0
1541658,1144,1,1,1,1,3,2,1,0,43,152,42,1,1,2,7.0,0
1541659,1144,1,8,0,0,0,2,0,0,10,25,10,4,1,1,3.5,0
1859733,1176,1,1,1,1,2,1,8,1,160,43,28,9,4,8,28.0,0
1541661,1144,1,1,5,-1,2,4,0,0,1,11,0,4,6,0,0.0,0
1541662,1144,1,1,1,1,5,3,0,0,20,25,7,5,1,1,3.5,0
1541663,1144,1,8,0,0,0,3,0,0,1,14,3,6,2,1,7.0,0
1541664,1144,1,8,0,0,0,3,0,0,2,12,3,6,1,1,7.0,0
1541665,1144,1,8,0,0,0,3,0,0,1,12,3,7,1,1,3.5,0
1541666,1144,1,8,0,0,0,3,0,0,2,10,3,10,1,1,3.5,0
1541667,1144,1,8,0,0,0,3,0,0,1,12,3,11,1,1,3.5,0
1541668,1144,1,1,5,-1,2,3,0,0,1,10,3,11,4,2,7.0,0
1541669,1144,1,8,0,0,0,1,0,0,2,10,3,12,1,1,7.0,0
1541670,1144,1,8,0,0,0,2,0,0,1,13,5,12,1,1,3.5,0
1720348,1146,1,1,1,1,4,3,0,1,550,335,94,11,6,7,44.5,1
1541672,1144,1,8,0,0,0,3,0,0,1,10,3,1,1,1,3.5,0
1541673,1144,1,8,0,0,0,3,0,0,2,12,3,1,1,1,3.5,0
1712054,1146,1,1,1,1,4,10,8,1,200,480,87,6,8,7,24.5,1
1860125,1176,1,1,2,1,5,4,8,1,200,144,71,2,9,7,42.0,1
1541676,1144,1,1,1,1,5,3,0,0,20,16,5,1,1,1,3.5,0
1541677,1144,1,8,0,0,0,2,0,0,1,10,3,1,1,1,3.5,0
1541678,1144,1,8,0,0,0,3,0,0,1,10,3,1,1,1,3.5,0
1542506,1144,1,1,1,1,5,4,0,1,900,776,36,9,11,7,24.5,1
1541680,1144,1,1,1,1,5,3,0,0,1,10,0,1,2,0,0.0,0
1541681,1144,1,8,0,0,0,3,0,0,1,11,3,8,1,1,7.0,0
1541682,1144,1,8,1,1,5,2,0,0,1,10,0,1,2,0,0.0,0
1541683,1144,1,8,0,0,0,3,0,0,3,10,0,1,1,0,0.0,0
1541684,1144,1,8,0,0,0,3,0,0,2,12,0,1,1,0,0.0,0
1721132,1146,1,1,3,1,3,5,0,1,60,263,158,3,7,6,21.0,1
1541686,1144,1,8,0,0,0,2,0,0,1,10,3,1,1,1,3.5,0
1541687,1144,1,1,1,1,5,4,0,0,5,79,0,1,1,0,0.0,0
1541688,1144,1,8,0,0,0,3,0,0,3,23,3,1,1,1,3.5,0
1707531,1146,0,1,2,1,5,7,8,1,250,227,91,9,4,6,24.5,1
1541690,1144,1,3,0,0,0,4,0,1,2,17,4,1,2,1,3.5,0
1541691,1144,1,1,5,2,2,2,0,0,1,10,0,1,2,0,0.0,0
1862553,1176,1,1,3,3,2,7,0,1,350,141,90,6,7,6,21.0,1
1541693,1144,1,1,9,8,2,2,0,0,2,10,0,1,4,0,0.0,0
1541694,1144,1,8,0,0,0,2,0,0,1,10,3,10,1,1,3.5,0
1541695,1144,1,8,0,0,0,3,0,0,2,10,3,10,1,1,3.5,0
1541696,1144,0,1,1,1,4,3,0,0,56,163,13,11,1,1,3.5,0
1721804,1146,1,1,1,1,4,6,3,1,300,198,87,2,4,6,28.0,1
1723444,1146,1,1,2,1,2,3,1,1,1500,627,414,7,17,7,44.5,1
1541699,1144,1,8,0,0,0,3,0,0,80,38,6,1,1,1,3.5,0
1864380,1176,1,1,1,1,5,13,8,1,120,323,79,1,9,6,37.5,1
1541701,1144,1,1,5,5,2,1,0,0,6,17,10,1,1,1,3.5,0
1541702,1144,1,1,1,1,5,1,0,0,15,32,7,1,1,1,3.5,0
1541703,1144,1,8,0,0,0,1,0,0,4,10,3,1,1,1,3.5,0
1541704,1144,1,8,0,0,0,3,0,0,4,10,0,1,1,0,0.0,0
1541705,1144,1,8,0,0,0,3,0,0,3,15,4,7,1,1,3.5,0
1541706,1144,1,3,0,0,0,1,0,1,2,12,8,8,2,1,3.5,0
1711631,1146,1,1,1,1,5,5,0,1,40,104,58,5,5,6,21.0,0
1859817,1176,1,1,1,1,2,3,1,1,200,74,55,1,7,6,40.0,1
1541709,1144,1,1,1,1,3,2,0,0,20,23,13,2,1,2,7.0,0
1723275,1146,1,1,1,1,2,3,1,1,80,165,32,1,5,6,24.5,0
1541711,1144,1,8,0,0,0,1,0,0,1,10,0,1,1,0,0.0,0
1541712,1144,1,8,0,0,0,2,0,0,1,10,3,1,1,1,3.5,0
1541713,1144,1,8,0,0,0,2,0,0,3,10,3,1,1,1,3.5,0
1542047,1144,1,8,0,0,0,5,0,0,200,618,13,12,8,6,21.0,0
1724291,1146,0,1,2,1,5,20,4,1,272,675,379,5,7,5,17.5,1
1541716,1144,1,8,0,0,0,2,0,0,2,11,3,4,1,1,3.5,0
1541717,1144,1,8,0,0,0,2,0,0,2,11,3,4,1,1,3.5,0
1541718,1144,1,8,0,0,0,2,0,0,1,10,0,4,1,0,0.0,0
1541719,1144,1,8,0,0,0,2,0,0,2,15,5,5,1,1,3.5,0
1541720,1144,1,8,0,0,0,1,0,0,2,10,0,5,1,0,0.0,0
1719889,1146,0,1,3,2,3,8,0,1,144,472,337,3,6,5,17.5,0
1541722,1144,1,1,1,1,5,2,0,0,12,22,12,7,2,1,7.0,0
1541723,1144,1,8,0,0,0,4,0,0,4,25,8,7,1,1,3.5,0
1541724,1144,1,8,0,0,0,3,0,0,3,15,3,11,1,1,3.5,0
1541725,1144,1,8,0,0,0,3,0,0,3,16,4,11,1,1,3.5,0
1717929,1146,1,1,2,2,3,2,0,1,80,605,272,1,5,5,17.5,0
